review_text,star_rating,date,app_version,sentiment,primary_theme,secondary_theme,summary
Don't order talabat becouse talabat management not good for delivery drivers. plz Qatar government follow talabat company by Ground check. they have a own company drivers thatswhy talabat not give good order to company drivers like (talabat Mart) only highbridge drivers delivery Talabat mart order. this is totally contraposition for delivery drivers.,1,2026-05-20,13.56.0,Negative,Order Accuracy,,User received wrong or missing items in order
even with big amount of order you still charge delivery fee!!!!,1,2026-05-20,13.50.0,Negative,Order Accuracy,,User received wrong or missing items in order
the food is supper expensive in this app. it feels like this is for rich people only.,1,2026-05-20,13.59.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
very bad customer service and fake promotions,1,2026-05-20,13.58.0,Negative,Customer Support,Delivery Speed,User unhappy with unresponsive customer support
talabat is my favourite app delivery is very fast thank u talabat,5,2026-05-20,13.59.0,Positive,Delivery Speed,,User impressed with fast delivery service
very nice app for buying everyday essentials like groceries,5,2026-05-20,13.58.0,Positive,App UX / Navigation,Other,User satisfied with the service
Best service and price ever,5,2026-05-20,13.58.0,Positive,Customer Support,,User satisfied with the service
Good experience overall. The app is simple and the service is always on time ❤,5,2026-05-20,13.58.0,Positive,Delivery ETA Accuracy,,User satisfied with the service
Always on time and variety on options,5,2026-05-20,13.59.0,Positive,Delivery ETA Accuracy,,User satisfied with the service
خدمات سيئه وعدم وجود اداره لديها اي صلاحيه بالاضافه الى عمليات النصب المالي الذي يتم تحت مسمى النظام لا يستطيع رد المبلغ,1,2026-05-20,13.58.0,Negative,Other,Delivery ETA Accuracy,"User dissatisfied, mentions other"
account banned for no reason with no way to contact the support.,1,2026-05-20,13.59.0,Negative,Customer Support,Delivery ETA Accuracy,User unhappy with unresponsive customer support
علشان انت جابرنى على منتجات معينة مش فاتح كل المنيو و كمان مفيش مكان اكتب فيه لو عايزة طلب مخصوص او مش موجود ف المعروض على الابليكيشن,3,2026-05-20,13.59.0,Positive,Other,,User satisfied with the service
في مشكلة ف الدفع بالفيزا,1,2026-05-19,13.58.0,Negative,Other,Delivery ETA Accuracy,"User dissatisfied, mentions other"
"I ordered a steam inhaler from one of the pharmacies listed on talabat. I recieved the item used and dirty. Took a photo and made a claim for a refund and a return. Guess what? The agent NOUR.K instead of helping me, kept asking for more photos. Instead of bashing that incompetent and unprofessional pharmacy that sent me a biological hazard, she kept dragging me for half an hour. Never again.",1,2026-05-19,13.58.0,Negative,Delivery Speed,,User frustrated with slow delivery times
